train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
1.489909338531494,1.8573558078765868,"tensor(0.3229, device='cuda:0', dtype=torch.float64)",0.3263,60
1.4824348080444336,1.8500511512756348,"tensor(0.3274, device='cuda:0', dtype=torch.float64)",0.3269,61
1.4758160098266602,1.8386621870040893,"tensor(0.3295, device='cuda:0', dtype=torch.float64)",0.3348,62
1.468381259765625,1.8334572082519531,"tensor(0.3360, device='cuda:0', dtype=torch.float64)",0.3313,63
1.4622790452575685,1.8273646800994874,"tensor(0.3379, device='cuda:0', dtype=torch.float64)",0.3356,64
1.4562731275939942,1.8234468339920045,"tensor(0.3402, device='cuda:0', dtype=torch.float64)",0.3375,65
1.4498222840881347,1.8122060577392578,"tensor(0.3404, device='cuda:0', dtype=torch.float64)",0.3464,66
1.443455739440918,1.8091197185516357,"tensor(0.3443, device='cuda:0', dtype=torch.float64)",0.3421,67
1.4378656379699708,1.797926450920105,"tensor(0.3467, device='cuda:0', dtype=torch.float64)",0.3454,68
1.4304982847595216,1.7862923736572265,"tensor(0.3484, device='cuda:0', dtype=torch.float64)",0.3487,69
1.4242443237304687,1.7791180770874024,"tensor(0.3534, device='cuda:0', dtype=torch.float64)",0.3499,70
1.420416160736084,1.770080293083191,"tensor(0.3550, device='cuda:0', dtype=torch.float64)",0.3547,71
1.4123531503295899,1.7665174201965332,"tensor(0.3592, device='cuda:0', dtype=torch.float64)",0.3537,72
1.4061312196350098,1.7525922925949096,"tensor(0.3613, device='cuda:0', dtype=torch.float64)",0.3562,73
1.3997275930786133,1.7481926250457764,"tensor(0.3622, device='cuda:0', dtype=torch.float64)",0.3611,74
1.3939446328735352,1.7402599660873412,"tensor(0.3645, device='cuda:0', dtype=torch.float64)",0.3598,75
1.3883150805664062,1.7383086292266845,"tensor(0.3686, device='cuda:0', dtype=torch.float64)",0.3665,76
1.3819050239562989,1.7284738315582275,"tensor(0.3687, device='cuda:0', dtype=torch.float64)",0.3652,77
1.3777223155212401,1.7209498531341554,"tensor(0.3713, device='cuda:0', dtype=torch.float64)",0.3677,78
1.3711927029418944,1.7138491214752196,"tensor(0.3761, device='cuda:0', dtype=torch.float64)",0.3727,79
1.3657049452209473,1.7089769309997558,"tensor(0.3759, device='cuda:0', dtype=torch.float64)",0.3757,80
1.3614202195739746,1.6983925771713257,"tensor(0.3780, device='cuda:0', dtype=torch.float64)",0.3749,81
1.356042490234375,1.6972213607788087,"tensor(0.3830, device='cuda:0', dtype=torch.float64)",0.3798,82
1.3514888520812989,1.6902746536254882,"tensor(0.3825, device='cuda:0', dtype=torch.float64)",0.383,83
