train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
1.2270405670166016,1.3600138845443726,"tensor(0.4424, device='cuda:0', dtype=torch.float64)",0.5103,52
1.2223220309448242,1.357816120147705,"tensor(0.4482, device='cuda:0', dtype=torch.float64)",0.5104,53
1.2250269816589356,1.344672144126892,"tensor(0.4440, device='cuda:0', dtype=torch.float64)",0.5179,54
1.2176239897155763,1.4051313146591187,"tensor(0.4459, device='cuda:0', dtype=torch.float64)",0.4907,55
1.2172975071716308,1.35064690990448,"tensor(0.4468, device='cuda:0', dtype=torch.float64)",0.5047,56
1.2224013819885253,1.3572518001556397,"tensor(0.4472, device='cuda:0', dtype=torch.float64)",0.5065,57
1.219577578277588,1.395655955696106,"tensor(0.4500, device='cuda:0', dtype=torch.float64)",0.503,58
1.2218118714904784,1.3781199850082397,"tensor(0.4467, device='cuda:0', dtype=torch.float64)",0.5116,59
1.2232044772338868,1.3784551527023314,"tensor(0.4469, device='cuda:0', dtype=torch.float64)",0.5095,60
1.2195038143920898,1.3691204385757447,"tensor(0.4460, device='cuda:0', dtype=torch.float64)",0.5161,61
1.212777830657959,1.3736411283493042,"tensor(0.4519, device='cuda:0', dtype=torch.float64)",0.5062,62
1.2202031692504882,1.3676175836563111,"tensor(0.4517, device='cuda:0', dtype=torch.float64)",0.4972,63
1.217693123474121,1.3794914698600769,"tensor(0.4524, device='cuda:0', dtype=torch.float64)",0.5155,64
1.2192285916137695,1.4025541347503663,"tensor(0.4481, device='cuda:0', dtype=torch.float64)",0.5006,65
1.2148481303405763,1.3799908477783203,"tensor(0.4516, device='cuda:0', dtype=torch.float64)",0.5003,66
1.2203351606750488,1.3702760173797608,"tensor(0.4521, device='cuda:0', dtype=torch.float64)",0.5083,67
1.2203765142822265,1.4302778902053832,"tensor(0.4498, device='cuda:0', dtype=torch.float64)",0.4865,68
1.2112141970825194,1.379064694404602,"tensor(0.4554, device='cuda:0', dtype=torch.float64)",0.4995,69
1.2185074153137208,1.453678865814209,"tensor(0.4526, device='cuda:0', dtype=torch.float64)",0.4819,70
1.2211983825683594,1.3671178016662597,"tensor(0.4463, device='cuda:0', dtype=torch.float64)",0.5157,71
1.2220576991271972,1.4152301816940307,"tensor(0.4501, device='cuda:0', dtype=torch.float64)",0.4998,72
1.216007410736084,1.3667566581726074,"tensor(0.4525, device='cuda:0', dtype=torch.float64)",0.5084,73
1.2190290228271485,1.3443856531143188,"tensor(0.4521, device='cuda:0', dtype=torch.float64)",0.5188,74
1.2114287842559814,1.3753413038253783,"tensor(0.4520, device='cuda:0', dtype=torch.float64)",0.5193,75
1.2199174966430664,1.364448776626587,"tensor(0.4477, device='cuda:0', dtype=torch.float64)",0.5148,76
1.218194271697998,1.3246994049072265,"tensor(0.4514, device='cuda:0', dtype=torch.float64)",0.5271,77
